Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
REGXAC_CREST60,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.9,8.0,140288.0,-944.40181592,-943.82679978,0.070223,-943.89702278,50.02,60.26,73.7,78.52,,-5.5751981034128555
REGXAC_CREST61,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.6,8.0,125405.0,-944.40393696,-943.82870679,0.07021016,-943.89891695,36.94,65.65,77.69,92.93,,-4.417807492137428
REGXAC_CREST62,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1446.5,8.0,130446.0,-944.41179875,-943.8372597,0.07029,-943.9075497,55.68,62.5,68.19,82.1,,-4.477312490417588
REGXAC_CREST63,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,803.0,32.0,925718.0,-944.12157393,-943.55763017,0.06703072,-943.6246609,46.68,69.9,74.89,83.04,,-4.915153446124548
REGXAC_CREST64,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,236.2,16.0,1110466.0,-944.409818591757,,,,,,,,Optimization Did Not Converge,-4.947072395441556
REGXAC_CREST65,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.0,16.0,338282.0,-944.41583391,-943.84075368,0.07000925,-943.91076293,32.34,65.04,71.6,80.7,,-5.006857866484223
REGXAC_CREST66,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1446.4,8.0,133593.0,-944.40018663,-943.8258832,0.07063977,-943.89652297,41.0,66.88,78.67,91.12,,-4.629858448316931
REGXAC_CREST67,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.9,8.0,233589.0,-944.4037361,-943.82843702,0.07021133,-943.89864834,44.17,52.86,69.91,87.21,,-5.150004756663291
REGXAC_CREST68,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1439.7,8.0,142950.0,-944.39850546,-943.82332285,0.07003047,-943.89335332,55.03,58.49,76.25,88.31,,-5.029973304818143
REGXAC_CREST69,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.2,8.0,142462.0,-944.40455991,-943.82961745,0.07024489,-943.89986233,49.62,61.26,74.33,90.65,,-5.109518529708549
REGXAC_CREST7,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.8,8.0,149297.0,-944.41369771,-943.83924862,0.07047534,-943.90972396,37.03,57.88,71.08,77.09,,-4.346900757499388
REGXAC_CREST70,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1439.9,8.0,143950.0,-944.40874534,-943.83257753,0.0697162,-943.90229373,39.69,72.27,88.84,110.17,,-4.627486774924658
REGXAC_CREST71,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,233.5,16.0,1131282.0,-944.402662699191,,,,,,,,Optimization Did Not Converge,-4.647592059706473
REGXAC_CREST72,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1446.0,8.0,163070.0,-944.40046892,-943.82512844,0.0705864,-943.89571484,42.1,56.98,65.58,91.52,,-5.005939762463663
REGXAC_CREST73,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.6,16.0,299601.0,-944.40537025,-943.83092138,0.07059993,-943.90152131,37.86,67.82,78.78,82.55,,-4.997553468912271
REGXAC_CREST74,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1446.5,8.0,152748.0,-944.39989994,-943.82392208,0.07025565,-943.89417774,50.46,62.21,69.08,102.46,,-4.196089139952831
REGXAC_CREST75,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,802.4,32.0,1707244.0,-944.22351227,-943.65815832,0.07014737,-943.72830569,27.55,47.92,70.07,95.72,,-4.328342522796661
REGXAC_CREST76,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.0,8.0,125687.0,-944.40831187,-943.83164842,0.06913371,-943.90078213,59.82,64.17,81.33,105.46,,-4.242599288876504
REGXAC_CREST77,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,235.4,16.0,1020653.0,-944.396493074243,,,,,,,,Optimization Did Not Converge,-5.177109006348724
REGXAC_CREST78,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.9,8.0,123254.0,-944.41191159,-943.8360382,0.06930226,-943.90534046,36.23,67.42,79.41,108.73,,-4.680435309006997
REGXAC_CREST79,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1441.4,8.0,128231.0,-944.40367957,-943.82791167,0.06975948,-943.89767115,58.0,68.74,75.51,95.27,,-4.699050909334513
REGXAC_CREST8,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.8,8.0,157892.0,-944.40512367,-943.82810941,0.07002773,-943.89813714,28.78,55.5,74.2,98.61,,-4.252748098326178
REGXAC_CREST80,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.3,8.0,151555.0,-944.39892353,-943.82364031,0.07036914,-943.89400945,33.32,52.88,83.46,100.18,,-4.36523459788508
REGXAC_CREST81,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.6,8.0,152768.0,-944.41173892,-943.83736667,0.07028762,-943.9076543,55.21,61.09,69.43,74.45,,-4.079278760842319
REGXAC_CREST82,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,232.3,16.0,958064.0,-944.401882036899,,,,,,,,Optimization Did Not Converge,-5.431272410971731
REGXAC_CREST83,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.2,16.0,795194.0,-944.40622496,-943.82733062,0.06713991,-943.89447053,-557.11,54.33,78.78,91.86,,-4.158100782048697
REGXAC_CREST84,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1441.5,16.0,575864.0,-944.40310184,-943.82707466,0.067601,-943.89467566,-383.56,-1.28,53.35,59.13,,-5.294584566075902
REGXAC_CREST85,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.3,16.0,557075.0,-944.40576657,-943.83087761,0.07077941,-943.90165701,36.22,48.12,65.8,71.45,,-4.6486613573858655
